nom;type
abricot;fruit
açaï;fruit
agrumes;fruit
amande;fruit
ananas;fruit
argousier;fruit
avocat;fruit
banane;fruit
bergamote;fruit
bigarreau;fruit
cassis;fruit
cerise;fruit
cédrat;fruit
citron;fruit
clémentine;fruit
coing;fruit
datte;fruit
figue;fruit
fraise;fruit
framboise;fruit
goyave;fruit
grenade;fruit
groseille;fruit
kaki;fruit
kiwi;fruit
kumquat;fruit
litchi;fruit
mandarine;fruit
mangue;fruit
melon;fruit
mirabelle;fruit
mûre;fruit
myrtille;fruit
nectarine;fruit
noisette;fruit
noix;fruit
orange;fruit
pamplemousse;fruit
papaye;fruit
pêche;fruit
physalis;fruit
pistache;fruit
poire;fruit
pomme;fruit
prune;fruit
pruneau;fruit
tamarin;fruit
olive;fruit
cantaloup;fruit
durian;fruit
sureau;fruit
mangoustan;fruit
sapote;fruit
ramboutan;fruit
longane;fruit
pitaya;fruit
pomelo;fruit
nèfle;fruit
nashi;fruit
sorbier;fruit
chérimole;fruit
corossol;fruit
maracudja;fruit
ail;legume
artichaut;legume
asperge;legume
aubergine;legume
betterave;legume
bette;legume
brocoli;legume
carotte;legume
céleri;legume
céleri-rave;legume
chou;legume
chou-fleur;legume
chou-rave;legume
courge;legume
courgette;legume
concombre;legume
cornichon;legume
cresson;legume
endive;legume
épinard;legume
fenouil;legume
fève;legume
flageolet;legume
gombo;legume
haricot;legume
igname;legume
laitue;legume
mâche;legume
manioc;legume
navet;legume
oignon;legume
panais;legume
patate;legume
piment;legume
poireau;legume
pois;legume
poivron;legume
potimarron;legume
potiron;legume
radis;legume
rutabaga;legume
salade;legume
tomate;legume
topinambour;legume
champignon;legume
shiitake;legume
pleurote;legume
taro;legume
wasabi;legume
mizuna;legume
chayotte;legume
rapini;legume
ciboule;legume
échalote;legume
ciboulette;legume
daikon;legume
