id;groupe;ipa;dur;f0;f1;f2;f3
1;fille;æ;257;238;630;2423;3166
1;fille;ɑ;212;241;831;1676;2602
1;fille;ɔ;242;247;725;1384;2642
1;fille;ɛ;184;214;713;2095;3129
1;fille;e;222;230;534;2690;3335
1;fille;ɜ˞;227;240;608;1733;2159
1;fille;ɪ;197;263;551;2393;3324
1;fille;i;237;277;554;3022;3541
1;fille;o;267;250;693;1235;2850
1;fille;ʊ;184;247;553;1495;2868
1;fille;ʌ;205;237;632;1573;2913
1;fille;u;253;246;502;1540;3176
2;fille;æ;359;286;829;2495;3218
2;fille;ɑ;328;276;1020;1555;2742
2;fille;ɔ;327;263;802;1287;2729
2;fille;ɛ;195;284;674;2196;3047
2;fille;e;324;277;556;2482;3428
2;fille;ɜ˞;395;283;560;1687;1990
2;fille;ɪ;239;289;563;2608;3476
2;fille;i;317;287;344;3193;3579
2;fille;o;336;258;557;1106;2808
2;fille;ʊ;253;292;570;1148;2947
2;fille;ʌ;161;269;731;1550;3363
2;fille;u;327;287;559;1312;2870
3;fille;æ;335;214;631;2801;3508
3;fille;ɑ;298;214;982;1823;2865
3;fille;ɔ;334;207;805;1299;2582
3;fille;ɛ;260;191;735;2315;3286
3;fille;e;286;201;608;2836;3599
3;fille;ɜ˞;280;199;622;1837;2114
3;fille;ɪ;284;228;571;2689;3572
3;fille;i;277;219;441;3081;3975
3;fille;o;310;211;624;1456;2933
3;fille;ʊ;247;200;574;1808;2985
3;fille;ʌ;226;210;823;1655;2926
3;fille;u;304;194;506;2378;2991
4;fille;æ;398;239;712;2608;3247
4;fille;ɑ;357;250;932;1874;2994
4;fille;ɔ;304;244;817;1329;2965
4;fille;ɛ;364;245;735;2448;3359
4;fille;e;323;252;574;2490;3189
4;fille;ɜ˞;386;230;580;1990;2245
4;fille;ɪ;268;249;513;2447;3454
4;fille;i;318;260;509;2873;3475
4;fille;o;322;250;685;1128;3181
4;fille;ʊ;343;251;558;1742;3271
4;fille;ʌ;293;241;756;1672;3183
4;fille;u;292;258;503;1104;3346
5;fille;æ;267;200;748;2589;3042
5;fille;ɑ;270;227;1052;1659;3433
5;fille;ɔ;236;199;780;1236;3360
5;fille;ɛ;207;219;787;2176;3307
5;fille;e;247;215;611;2761;3269
5;fille;ɜ˞;228;224;573;1562;2227
5;fille;ɪ;209;226;479;2449;3200
5;fille;i;242;244;475;3203;3801
5;fille;o;247;197;589;1050;3083
5;fille;ʊ;197;218;543;1473;3166
5;fille;ʌ;150;217;637;1424;3328
5;fille;u;260;240;481;1226;3131
6;fille;æ;323;262;769;2203;3126
6;fille;ɑ;294;308;881;1543;3076
6;fille;ɔ;378;301;891;1383;3039
6;fille;ɛ;272;297;867;2054;3227
6;fille;e;361;320;629;2663;3132
6;fille;ɜ˞;375;294;612;1645;2306
6;fille;ɪ;268;296;590;2354;3416
6;fille;i;310;307;488;3063;4430
6;fille;o;311;315;641;1243;3443
6;fille;ʊ;281;305;624;1513;3061
6;fille;ʌ;310;289;822;1489;3281
6;fille;u;303;330;609;1658;2644
7;fille;æ;316;216;870;2281;3077
7;fille;ɑ;340;202;762;1604;2991
7;fille;ɔ;353;207;610;993;2946
7;fille;ɛ;135;205;605;2445;3265
7;fille;e;285;223;606;2396;3015
7;fille;ɜ˞;261;208;477;1809;2039
7;fille;ɪ;205;215;447;2784;3287
7;fille;i;241;220;434;3127;3566
7;fille;o;341;248;554;896;2870
7;fille;ʊ;200;218;469;1097;2801
7;fille;ʌ;242;201;667;1442;2882
7;fille;u;262;228;440;1124;3117
8;fille;æ;245;220;709;2565;3526
8;fille;ɑ;285;230;987;1610;3010
8;fille;ɔ;313;238;845;1111;3049
8;fille;ɛ;193;238;699;2202;3393
8;fille;e;258;235;555;2377;3123
8;fille;ɜ˞;262;241;505;1691;2074
8;fille;ɪ;232;239;536;2319;3351
8;fille;i;296;251;501;2760;3262
8;fille;o;210;237;516;1181;3079
8;fille;ʊ;222;237;615;1345;3346
8;fille;ʌ;228;233;695;1423;3210
8;fille;u;211;255;503;1119;3100
9;fille;æ;396;205;634;2555;3121
9;fille;ɑ;413;209;1123;1640;2684
9;fille;ɔ;316;208;695;1288;3014
9;fille;ɛ;234;218;646;2435;3262
9;fille;e;314;197;580;2754;3405
9;fille;ɜ˞;326;220;620;1823;2188
9;fille;ɪ;263;209;529;2649;3280
9;fille;i;266;222;424;3198;3818
9;fille;o;316;209;623;1241;2770
9;fille;ʊ;259;214;613;1561;2856
9;fille;ʌ;248;203;612;1432;3046
9;fille;u;275;215;463;1676;2976
10;fille;æ;298;209;630;2509;3112
10;fille;ɑ;282;203;832;1602;2551
10;fille;ɔ;331;194;761;1310;2801
10;fille;ɛ;282;214;794;2066;3160
10;fille;e;309;210;571;2586;3293
10;fille;ɜ˞;322;211;586;1681;2069
10;fille;ɪ;227;197;522;2387;3297
10;fille;i;254;207;429;2984;3348
10;fille;o;270;198;591;1168;2769
10;fille;ʊ;271;213;593;1507;2997
10;fille;ʌ;266;213;699;1454;2765
10;fille;u;246;197;430;1448;2896
11;fille;æ;415;252;736;2505;3332
11;fille;ɑ;425;258;968;1808;3600
11;fille;ɔ;369;251;985;1630;2989
11;fille;ɛ;363;249;742;2355;3514
11;fille;e;357;260;554;2620;3604
11;fille;ɜ˞;366;263;523;1874;2284
11;fille;ɪ;305;262;548;2592;3485
11;fille;i;349;262;516;3126;3621
11;fille;o;403;261;716;1206;2864
11;fille;ʊ;325;268;588;1578;3113
11;fille;ʌ;298;254;762;1721;3234
11;fille;u;313;258;503;1255;3105
12;fille;æ;281;216;634;2535;3260
12;fille;ɑ;273;211;933;1694;2860
12;fille;ɔ;322;210;875;1402;2830
12;fille;ɛ;258;227;640;2244;3086
12;fille;e;280;242;532;2673;3363
12;fille;ɜ˞;255;193;574;1751;2078
12;fille;ɪ;253;223;491;2409;3166
12;fille;i;234;239;476;2772;3371
12;fille;o;259;218;586;1217;3041
12;fille;ʊ;244;227;626;1578;2786
12;fille;ʌ;250;211;639;1454;3098
12;fille;u;233;209;435;1312;2715
13;fille;æ;314;198;697;2418;3371
13;fille;ɑ;263;201;998;1560;2745
13;fille;ɔ;243;206;950;1246;2853
13;fille;ɛ;168;200;806;2172;3430
13;fille;e;260;203;436;2658;3519
13;fille;ɜ˞;283;213;619;1498;1696
13;fille;ɪ;177;221;470;2505;3377
13;fille;i;327;203;421;3337;3578
13;fille;o;263;203;623;1044;3142
13;fille;ʊ;179;212;494;1245;3037
13;fille;ʌ;215;210;697;1305;3167
13;fille;u;263;206;418;940;2567
14;fille;æ;382;272;607;2620;3350
14;fille;ɑ;340;287;871;2042;3410
14;fille;ɔ;312;258;750;1251;3003
14;fille;ɛ;312;279;734;2242;3601
14;fille;e;382;262;558;2643;3216
14;fille;ɜ˞;371;281;562;1682;1981
14;fille;ɪ;255;287;564;2515;3537
14;fille;i;329;259;446;3011;3587
14;fille;o;394;282;562;1051;3094
14;fille;ʊ;329;291;570;1423;3457
14;fille;ʌ;307;280;654;1517;3466
14;fille;u;324;282;548;1123;3152
15;fille;æ;367;187;753;2227;3064
15;fille;ɑ;364;187;859;1608;2789
15;fille;ɔ;367;201;819;1074;2918
15;fille;ɛ;291;202;616;2356;3200
15;fille;e;346;193;564;2523;3286
15;fille;ɜ˞;334;200;591;1626;2051
15;fille;ɪ;290;198;562;2549;3101
15;fille;i;324;207;428;3070;3604
15;fille;o;315;217;588;1063;3228
15;fille;ʊ;261;202;615;1397;3109
