id;groupe;genre;ipa;f0;f1;f2;f3
1;homme;masculin;i;160;240;2280;2850
1;homme;masculin;i;186;280;2400;2790
1;homme;masculin;ɪ;203;390;2030;2640
1;homme;masculin;ɪ;192;310;1980;2550
1;homme;masculin;ɛ;161;490;1870;2420
1;homme;masculin;ɛ;155;570;1700;2600
1;homme;masculin;æ;140;560;1820;2660
1;homme;masculin;æ;180;630;1700;2550
1;homme;masculin;ʌ;144;590;1250;2620
1;homme;masculin;ʌ;148;620;1300;2530
1;homme;masculin;ɑ;148;740;1070;2490
1;homme;masculin;ɑ;170;800;1060;2640
1;homme;masculin;ɔ;161;600;970;2280
1;homme;masculin;ɔ;158;660;980;2220
1;homme;masculin;ʊ;163;440;1120;2210
1;homme;masculin;ʊ;190;400;1070;2280
1;homme;masculin;u;160;240;1040;2150
1;homme;masculin;u;157;270;930;2280
1;homme;masculin;ɜ˞;177;370;1520;1670
1;homme;masculin;ɜ˞;164;460;1330;1590
2;homme;masculin;i;147;220;2220;2910
2;homme;masculin;i;148;210;2360;3250
2;homme;masculin;ɪ;141;410;1890;2680
2;homme;masculin;ɪ;139;420;1850;2500
2;homme;masculin;ɛ;136;500;1760;2590
2;homme;masculin;ɛ;135;510;1710;2380
2;homme;masculin;æ;128;690;1610;2560
2;homme;masculin;æ;131;700;1690;2580
2;homme;masculin;ʌ;140;650;1080;2420
2;homme;masculin;ʌ;125;625;1060;2490
2;homme;masculin;ɑ;140;650;1040;2450
2;homme;masculin;ɑ;136;670;1100;2430
2;homme;masculin;ɔ;149;580;580;2470
2;homme;masculin;ɔ;140;560;560;2410
2;homme;masculin;ʊ;145;450;940;1910
2;homme;masculin;ʊ;141;410;830;2240
2;homme;masculin;u;140;280;650;3300
2;homme;masculin;u;137;260;660;3300
2;homme;masculin;ɜ˞;145;510;1210;1570
2;homme;masculin;ɜ˞;145;510;1130;1510
3;homme;masculin;i;105;250;2180;2680
3;homme;masculin;i;111;244;2300;2780
3;homme;masculin;ɪ;100;400;1930;2610
3;homme;masculin;ɪ;104;400;1990;2700
3;homme;masculin;ɛ;100;550;1810;2500
3;homme;masculin;ɛ;95;540;1810;2480
3;homme;masculin;æ;93;630;1710;2400
3;homme;masculin;æ;94;658;1755;2305
3;homme;masculin;ʌ;100;600;1200;2320
3;homme;masculin;ʌ;105;612;1160;2350
3;homme;masculin;ɑ;91;640;1080;2140
3;homme;masculin;ɑ;94;720;1090;2230
3;homme;masculin;ɔ;92;550;870;2300
3;homme;masculin;ɔ;120;540;840;2280
3;homme;masculin;ʊ;114;460;1150;2290
3;homme;masculin;ʊ;114;456;1030;2300
3;homme;masculin;u;112;340;950;2240
3;homme;masculin;u;112;326;900;2190
3;homme;masculin;ɜ˞;100;500;1370;1780
3;homme;masculin;ɜ˞;106;530;1330;1800
4;homme;masculin;i;150;300;2240;3400
4;homme;masculin;i;156;280;2450;3200
4;homme;masculin;ɪ;156;450;1960;2400
4;homme;masculin;ɪ;146;440;2050;2360
4;homme;masculin;ɛ;130;570;1780;2410
4;homme;masculin;ɛ;150;555;1890;2440
4;homme;masculin;æ;125;750;1610;2340
4;homme;masculin;æ;136;770;1580;2350
4;homme;masculin;ʌ;132;660;1200;2330
4;homme;masculin;ʌ;150;675;1140;2380
4;homme;masculin;ɑ;125;750;1100;2550
4;homme;masculin;ɑ;138;800;1120;2500
4;homme;masculin;ɔ;143;540;850;2320
4;homme;masculin;ɔ;150;555;890;2370
4;homme;masculin;ʊ;136;460;960;2210
4;homme;masculin;ʊ;156;460;1000;2350
4;homme;masculin;u;140;380;950;2050
4;homme;masculin;u;148;385;850;2330
4;homme;masculin;ɜ˞;150;590;1400;1840
4;homme;masculin;ɜ˞;145;555;1430;1730
5;homme;masculin;i;140;310;2310;2820
5;homme;masculin;i;131;260;2250;2850
5;homme;masculin;ɪ;137;440;2060;2640
5;homme;masculin;ɪ;134;430;1880;2450
5;homme;masculin;ɛ;140;580;1910;2500
5;homme;masculin;ɛ;137;550;1770;2400
