year,title,genre
1970,Love Story,Drame
1970,Love Story,Romance
1970,Airport,Action
1970,Airport,Drame
1970,Airport,Thriller
1970,MASH,Comédie
1970,MASH,Drame
1970,MASH,Guerre
1970,Patton,Biographie
1970,Patton,Drame
1970,Patton,Guerre
1970,The AristoCats,Animation
1970,The AristoCats,Aventure
1970,The AristoCats,Comédie
1970,Little Big Man,Aventure
1970,Little Big Man,Comédie
1970,Little Big Man,Drame
1970,Tora! Tora! Tora!,Action
1970,Tora! Tora! Tora!,Drame
1970,Tora! Tora! Tora!,Histoire
1970,Catch-22,Comédie
1970,Catch-22,Drame
1970,Catch-22,Guerre
1970,The Owl and the Pussycat,Comédie
1970,Joe,Drame
1970,Joe,Thriller
1970,Beneath the Planet of the Apes,Action
1970,Beneath the Planet of the Apes,Aventure
1970,Beneath the Planet of the Apes,Science-fiction
1970,The Boatniks,Famille
1970,The Boatniks,Comédie
1970,On a Clear Day You Can See Forever,Comédie
1970,On a Clear Day You Can See Forever,Drame
1970,On a Clear Day You Can See Forever,Fantaisie
1970,Two Mules for Sister Sara,Aventure
1970,Two Mules for Sister Sara,Romance
1970,Two Mules for Sister Sara,Guerre
1970,Rio Lobo,Aventure
1970,Rio Lobo,Romance
1970,Rio Lobo,Guerre
1970,Beyond the Valley of the Dolls,Comédie
1970,Beyond the Valley of the Dolls,Drame
1970,Beyond the Valley of the Dolls,Musique
1970,Myra Breckinridge,Comédie
1970,The Boys in the Band,Drame
1970,Chisum,Biographie
1970,Chisum,Western
1970,They Call Me Mister Tibbs!,Policier
1970,They Call Me Mister Tibbs!,Drame
1970,They Call Me Mister Tibbs!,Mystère
1970,Cotton Comes to Harlem,Action
1970,Cotton Comes to Harlem,Comédie
1970,Cotton Comes to Harlem,Policier
1970,The Out of Towners,Comédie
1970,Five Easy Pieces,Drame
1970,Getting Straight,Comédie
1970,Getting Straight,Drame
1970,Getting Straight,Romance
1970,The Ballad of Cable Hogue,Comédie
1970,The Ballad of Cable Hogue,Drame
1970,The Ballad of Cable Hogue,Romance
1970,The Private Life of Sherlock Holmes,Aventure
1970,The Private Life of Sherlock Holmes,Comédie
1970,The Private Life of Sherlock Holmes,Policier
1970,The Only Game in Town,Comédie
1970,The Only Game in Town,Drame
1970,The Only Game in Town,Romance
1970,The Adventurers,Action
1970,The Adventurers,Aventure
1970,The Adventurers,Drame
1970,Diary of a Mad Housewife,Comédie
1970,Diary of a Mad Housewife,Drame
1970,Darling Lili,Comédie
1970,Darling Lili,Drame
1970,Darling Lili,Comédie musicale
1970,The Great White Hope,Drame
1970,The Great White Hope,Romance
1970,The Great White Hope,Sport
1970,A Man Called Horse,Aventure
1970,A Man Called Horse,Drame
1970,A Man Called Horse,Western
1970,The Twelve Chairs,Comédie
1970,Little Fauss and Big Halsy,Drame
1970,Song of Norway,Biographie
1970,Song of Norway,Drame
1970,Song of Norway,Comédie musicale
1970,Watermelon Man,Comédie
1970,Trash,Drame
1970,Kelly's Heroes,Aventure
1970,Kelly's Heroes,Comédie
1970,Kelly's Heroes,Guerre
1970,...tick... tick... tick...,Drame
1970,...tick... tick... tick...,Action
1970,Where's Poppa?,Comédie
1970,Cromwell,Biographie
1970,Cromwell,Drame
1970,Cromwell,Histoire
1970,Zabriskie Point,Drame
1970,The Landlord,Comédie
1970,The Landlord,Drame
1970,The Landlord,Romance
1970,Loving,Comédie
1970,Loving,Drame
1970,The Strawberry Statement,Drame
1970,The Strawberry Statement,Romance
1970,Threesome,Drame
1970,El Condor,Action
1970,El Condor,Aventure
1970,El Condor,Romance
1970,I Never Sang for My Father,Drame
1970,There Was a Crooked Man...,Comédie
1970,There Was a Crooked Man...,Western
1970,Soldier Blue,Western
1971,Billy Jack,Action
1971,Billy Jack,Drame
1971,Billy Jack,Western
1971,Fiddler on the Roof,Drame
1971,Fiddler on the Roof,Famille
1971,Fiddler on the Roof,Comédie musicale
1971,Dirty Harry,Action
1971,Dirty Harry,Policier
1971,Dirty Harry,Thriller
1971,The Last Picture Show,Drame
1971,The Last Picture Show,Romance
1971,Carnal Knowledge,Drame
1971,The Hospital,Comédie
1971,The Hospital,Drame
1971,The Hospital,Mystère
1971,Willard,Horreur
1971,Bedknobs and Broomsticks,Animation
1971,Bedknobs and Broomsticks,Aventure
1971,Bedknobs and Broomsticks,Comédie
1971,Shaft,Action
1971,Shaft,Policier
1971,Shaft,Thriller
1971,Sweet Sweetback's Baadasssss Song,Action
1971,Sweet Sweetback's Baadasssss Song,Policier
1971,Sweet Sweetback's Baadasssss Song,Drame
1971,Klute,Policier
1971,Klute,Mystère
1971,Klute,Thriller
1971,Escape from the Planet of the Apes,Action
