year,title,filepath,period
1970,Love Story,data/mp_med/1970_love_story.jpg,1970-1974
1970,Airport,data/mp_med/1970_airport.jpg,1970-1974
1970,M.A.S.H.,data/mp_med/1970_mash.jpg,1970-1974
1970,Patton,data/mp_med/1970_patton.jpg,1970-1974
1970,Little Big Man,data/mp_med/1970_little_big_man.jpg,1970-1974
1970,Tora! Tora! Tora!,data/mp_med/1970_tora_tora_tora.jpg,1970-1974
1970,Joe,data/mp_med/1970_joe.jpg,1970-1974
1970,Rio Lobo,data/mp_med/1970_rio_lobo.jpg,1970-1974
1970,Myra Breckinridge,data/mp_med/1970_myra_breckinridge.jpg,1970-1974
1970,The Boys in the Band,data/mp_med/1970_the_boys_in_the_band.jpg,1970-1974
1970,Chisum,data/mp_med/1970_chisum.jpg,1970-1974
1970,Darling Lili,data/mp_med/1970_darling_lili.jpg,1970-1974
1970,Song of Norway,data/mp_med/1970_song_of_norway.jpg,1970-1974
1970,Watermelon Man,data/mp_med/1970_watermelon_man.jpg,1970-1974
1970,Trash,data/mp_med/1970_trash.jpg,1970-1974
1970,Where's Poppa?,data/mp_med/1970_wheres_poppa.jpg,1970-1974
1970,Cromwell,data/mp_med/1970_cromwell.jpg,1970-1974
1970,Zabriskie Point,data/mp_med/1970_zabriskie_point.jpg,1970-1974
1970,Loving,data/mp_med/1970_loving.jpg,1970-1974
1970,Threesome,data/mp_med/1970_threesome.jpg,1970-1974
1970,El condor,data/mp_med/1970_el_condor.jpg,1970-1974
1970,Fools,data/mp_med/1970_fools.jpg,1970-1974
1970,The Losers,data/mp_med/1970_the_losers.jpg,1970-1974
1970,The Honeymoon Killers,data/mp_med/1970_the_honeymoon_killers.jpg,1970-1974
1970,The Dunwich Horror,data/mp_med/1970_the_dunwich_horror.jpg,1970-1974
1970,I Love My Wife,data/mp_med/1970_i_love_my_wife.jpg,1970-1974
1970,Promise at Dawn,data/mp_med/1970_promise_at_dawn.jpg,1970-1974
1970,The Angel Levine,data/mp_med/1970_the_angel_levine.jpg,1970-1974
1970,Which Way to the Front?,data/mp_med/1970_which_way_to_the_front.jpg,1970-1974
1970,Female Animal,data/mp_med/1970_female_animal.jpg,1970-1974
1970,"Tell Me That You Love Me, Junie Moon",data/mp_med/1970_tell_me_that_you_love_me_junie_moon.jpg,1970-1974
1970,Lovers and Other Strangers,data/mp_med/1970_lovers_and_other_strangers.jpg,1970-1974
1970,No Blade of Grass,data/mp_med/1970_no_blade_of_grass.jpg,1970-1974
1970,Brewster McCloud,data/mp_med/1970_brewster_mccloud.jpg,1970-1974
1970,Husbands,data/mp_med/1970_husbands.jpg,1970-1974
1970,Too Late the Hero,data/mp_med/1970_too_late_the_hero.jpg,1970-1974
1970,Something for Everyone,data/mp_med/1970_something_for_everyone.jpg,1970-1974
1970,Pufnstuf,data/mp_med/1970_pufnstuf.jpg,1970-1974
1970,The Hawaiians,data/mp_med/1970_the_hawaiians.jpg,1970-1974
1970,Equinox,data/mp_med/1970_equinox.jpg,1970-1974
1970,Move,data/mp_med/1970_move.jpg,1970-1974
1970,The Christine Jorgensen Story,data/mp_med/1970_the_christine_jorgensen_story.jpg,1970-1974
1970,The Kremlin Letter,data/mp_med/1970_the_kremlin_letter.jpg,1970-1974
1970,Alex in Wonderland,data/mp_med/1970_alex_in_wonderland.jpg,1970-1974
1970,The People Next Door,data/mp_med/1970_the_people_next_door.jpg,1970-1974
1970,The Molly Maguires,data/mp_med/1970_the_molly_maguires.jpg,1970-1974
1970,"Count Yorga, Vampire",data/mp_med/1970_count_yorga_vampire.jpg,1970-1974
1970,Kama Sutra '71,data/mp_med/1970_kama_sutra_.jpg,1970-1974
1970,The Lady in the Car with Glasses and a Gun,data/mp_med/1970_the_lady_in_the_car_with_glasses_and_a_gun.jpg,1970-1974
1970,Barquero,data/mp_med/1970_barquero.jpg,1970-1974
1970,The Cheyenne Social Club,data/mp_med/1970_the_cheyenne_social_club.jpg,1970-1974
1970,Up in the Cellar,data/mp_med/1970_up_in_the_cellar.jpg,1970-1974
1970,How Do I Love Thee?,data/mp_med/1970_how_do_i_love_thee.jpg,1970-1974
1970,Angel Unchained,data/mp_med/1970_angel_unchained.jpg,1970-1974
1970,Wanda,data/mp_med/1970_wanda.jpg,1970-1974
1970,Multiple Maniacs,data/mp_med/1970_multiple_maniacs.jpg,1970-1974
1970,Massacre,data/mp_med/1970_massacre.jpg,1970-1974
1970,Female Sexual Emancipation,data/mp_med/1970_female_sexual_emancipation.jpg,1970-1974
1970,A Voyage to Arcturus,data/mp_med/1970_a_voyage_to_arcturus.jpg,1970-1974
1970,Billy Boy,data/mp_med/1970_billy_boy.jpg,1970-1974
1971,Billy Jack,data/mp_med/1971_billy_jack.jpg,1970-1974
1971,Fiddler on the Roof,data/mp_med/1971_fiddler_on_the_roof.jpg,1970-1974
1971,Dirty Harry,data/mp_med/1971_dirty_harry.jpg,1970-1974
1971,The Last Picture Show,data/mp_med/1971_the_last_picture_show.jpg,1970-1974
1971,Carnal Knowledge,data/mp_med/1971_carnal_knowledge.jpg,1970-1974
1971,The Hospital,data/mp_med/1971_the_hospital.jpg,1970-1974
1971,Willard,data/mp_med/1971_willard.jpg,1970-1974
1971,Bedknobs and Broomsticks,data/mp_med/1971_bedknobs_and_broomsticks.jpg,1970-1974
1971,Shaft,data/mp_med/1971_shaft.jpg,1970-1974
1971,Sweet Sweetback's Baadasssss Song,data/mp_med/1971_sweet_sweetbacks_baadasssss_song.jpg,1970-1974
1971,Klute,data/mp_med/1971_klute.jpg,1970-1974
1971,Escape from the Planet of the Apes,data/mp_med/1971_escape_from_the_planet_of_the_apes.jpg,1970-1974
1971,Cold Turkey,data/mp_med/1971_cold_turkey.jpg,1970-1974
1971,Play Misty for Me,data/mp_med/1971_play_misty_for_me.jpg,1970-1974
1971,Bananas,data/mp_med/1971_bananas.jpg,1970-1974
1971,The Million Dollar Duck,data/mp_med/1971_the_million_dollar_duck.jpg,1970-1974
1971,The Anderson Tapes,data/mp_med/1971_the_anderson_tapes.jpg,1970-1974
1971,The Big Doll House,data/mp_med/1971_the_big_doll_house.jpg,1970-1974
1971,The Omega Man,data/mp_med/1971_the_omega_man.jpg,1970-1974
1971,McCabe & Mrs. Miller,data/mp_med/1971_mccabe__mrs_miller.jpg,1970-1974
1971,Big Jake,data/mp_med/1971_big_jake.jpg,1970-1974
1971,Lawman,data/mp_med/1971_lawman.jpg,1970-1974
1971,Willy Wonka & the Chocolate Factory,data/mp_med/1971_willy_wonka__the_chocolate_factory.jpg,1970-1974
1971,THX 1138,data/mp_med/1971_thx_.jpg,1970-1974
1971,Honey Britches,data/mp_med/1971_honey_britches.jpg,1970-1974
1971,Octaman,data/mp_med/1971_octaman.jpg,1970-1974
1971,Doctors' Wives,data/mp_med/1971_doctors_wives.jpg,1970-1974
1971,The Last Valley,data/mp_med/1971_the_last_valley.jpg,1970-1974
1971,The Statue,data/mp_med/1971_the_statue.jpg,1970-1974
1971,Zachariah,data/mp_med/1971_zachariah.jpg,1970-1974
1971,Wake in Fright,data/mp_med/1971_wake_in_fright.jpg,1970-1974
1971,Pink Narcissus,data/mp_med/1971_pink_narcissus.jpg,1970-1974
1971,Santa's Christmas Elf (Named Calvin),data/mp_med/1971_santas_christmas_elf_named_calvin.jpg,1970-1974
1971,Grease,data/mp_med/1971_grease.jpg,1970-1974
1971,Daughters of Anomaly,data/mp_med/1971_daughters_of_anomaly.jpg,1970-1974
1971,Nympho Cycler,data/mp_med/1971_nympho_cycler.jpg,1970-1974
1971,Side Street Girls,data/mp_med/1971_side_street_girls.jpg,1970-1974
1971,The Blue Hour,data/mp_med/1971_the_blue_hour.jpg,1970-1974
1971,The Groupies,data/mp_med/1971_the_groupies.jpg,1970-1974
1971,The Killers,data/mp_med/1971_the_killers.jpg,1970-1974
1971,Beautiful People,data/mp_med/1971_beautiful_people.jpg,1970-1974
