series,season,number,title,director,writer,air_date,description
Bewitched,1,1,"I, Darrin, Take This Witch, Samantha",William Asher,Sol Saks,1964-09-17,"In the pilot episode, strangers Samantha (Elizabeth Montgomery) and Darrin (Dick York) meet one another by bumping into each other several times. They fall in love and get married. On their wedding night, Samantha's witch mother, Endora (Agnes Moorehead), visits Samantha. She is shocked to learn her new husband is a mortal and predicts the marriage will not last. Before he can enter the bedroom, Endora puts him in the hotel lobby. Samantha tells Darrin she's a witch and proves it. Darrin is shocked, but realizes he loves Samantha and cannot give her up. He tells her he wants her to become a suburban housewife and refrain from using magic. At McMann and Tate, where Darrin works in advertising, Sheila Sommers (Nancy Kovack) comes by to see him. Sheila is an ex-girlfriend and she invites Darrin and Samantha over for a casual dinner party. That night the dinner party turns out to be quite formal. Sheila is very condescending to Samantha. Samantha uses her powers to get back at Sheila. At home, Darrin admits Sheila had it coming, but he still wants Samantha to try harder to not use witchcraft.
Notes: 

Rehearsal for the pilot was to begin on November 22, 1963, but was ultimately postponed due to the assassination of John F. Kennedy. Filming was completed December 6 of that year.
Elizabeth Montgomery would give birth to her first child seven months later, on July 24, 1964.
Nancy Kovack's character of Sheila was originally intended to be an occasionally recurring nemesis of Darrin and Samantha,[citation needed] but did not appear again until the fourth season episode ""Snob in the Grass"".
Gene Blakely's character of Dave, a drinking companion of Darrin's, would recur very occasionally in seasons 1 through 4, as would Paul Barselow's bartender character (who at various times was credited as Al, Joe, Pete or Max). C. Lindsay Workman would also appear in a few later episodes as Dr. Koblin (the character he plays here), as well as playing other roles throughout the series run.
Narrated by an uncredited José Ferrer, who would also narrate episodes 2 and 4 before being dropped from the show."
Bewitched,1,2,Be It Ever So Mortgaged,William Asher,Barbara Avedon,1964-09-24,"Endora is still surprised that Sam is willing to do housework without using magic. Darrin comes home and Endora hides because she wants to get an idea what he's like. Despite it being a little beyond their means, Darrin has found a house he'd like to buy. Endora thinks it's silly that Samantha would tie herself down to an earthly home. Sam and Endora go to see the house. It's newly built so there's no landscaping or furnishings. Sam and Endora use some magic to landscape around the house. Nosy neighbor Gladys Kravitz (Alice Pearce) sees the landscaping and goes to tell her husband Abner (George Tobias). When Abner goes to look, the yard is barren. Sam and Endora then use magic to see what the interior would look like furnished. Gladys goes to the house, looks in the window and sees the furniture. When she looks again it's gone. Gladys becomes shocked and hysterical. Darrin comes by and Endora leaves before Darrin can meet her. Gladys comes to the door and Darrin thinks she's Endora.

Note: This episode was completed along with the next five on September 11, 1964. Filming needed to work around Elizabeth Montgomery's first pregnancy. William Asher Jr. was born July 24, 1964. First episode to feature the Kravitzes."
Bewitched,1,3,It Shouldn't Happen to a Dog,William Asher,Jerry Davis,4-10-01)[3,"Samantha is preparing dinner for Darrin's potential client, baby food maker Rex Barker (Jack Warden). That night at the dinner party, alcoholic and lecherous Rex makes several passes at Samantha. She decides to teach him a lesson by turning him into a dog. After the party, Sam confesses to Darrin what she did. Sam gets upset when Darrin seems to care more about his possible account with Rex than the fact that Rex assaulted her. She kicks Darrin and the dog out of the bedroom. Because of a cat that Endora put outside, the dog runs away. Samantha chases after the dog and changes it back into Rex. A Policeman (Karl Lukas) comes by and Sam changes Rex back into a dog and it runs away again. The next morning, Sam gets the dog back and brings it to Darrin's office where she changes him back to Rex. Rex doesn't remember anything about being a dog. When Rex makes another pass at Sam, Darrin knocks him cold. Rex does wind up giving Darrin his account. Grace Lee Whitney as Babs Livingston. Irene Vernon as Louise Tate.

Note: First episode to feature David White as Larry Tate."
Bewitched,1,4,Mother Meets What's-His-Name,William Asher,Danny Arnold,1964-10-08,"Samantha is visited by Gladys Kravitz, June Foster (Alice Backes) and Shirley Clyde, the Morning Glory Circle Welcome Committee. The ladies showed up with three little boys, who immediately start running around the house. June is slightly condescending and her and Shirley are clearly snooping to see what things look like in the house. They have cake and coffee and Sam has to use a little magic. The boys run into Endora upstairs. Something strange happens to them that has Gladys puzzled. After they leave, Endora tells Sam that all mortals are the same. Sam says Darrin isn't like that and she wants Endora to finally meet him. Endora refers to Darrin as ""What's his name"" and agrees to come to dinner. That night, Darrin is quite nervous about meeting Endora. Despite Endora using her magic, Darrin tries to be very cordial. Darrin tells Endora that they can get along without witchcraft. They have a heated exchange before Endora leaves."
Bewitched,1,5,"Help, Help, Don't Save Me",William Asher,Danny Arnold,1964-10-15,"Darrin has been spending all hours working on his Caldwell Soup advertising campaign. Caldwell Soup has been losing market share and are thinking of going to another agency. Samantha suggests some clever slogans and Darrin loves them. But then he suspects Samantha of using magic to help. Darrin has lunch with Mr. Caldwell (Charlie Ruggles) and shows him one of his original campaigns. Caldwell is not impressed. Darrin for a second thinks of using one of Sam's suggestions, but doesn't. That night Darrin and Sam get into an argument, he calls her a liar and she leaves home. The next day, Darrin shows Larry Sam's ideas passing them off as his. Larry loves them. Darrin and Larry pitch Sam's slogans to Caldwell. He doesn't like them at all. Darrin now realizes Sam didn't use any magic. Darrin goes back to his empty house and apologizes to Sam. Sam comes back and forgives him. Something Sam says gives Darrin a great idea and he wins back the Caldwell account."
Bewitched,1,6,Little Pitchers Have Big Fears,William Asher,Barbara Avedon,1964-10-22,"Darrin learns that Samantha has made friends with Marshall Burns (Jimmy Mathers), a little boy who lives down the street. Sam tells Darrin that Marshall has no friends or father and an overprotective mother (June Lockhart). To help Marshall gain self-confidence, Sam takes him to Little League Baseball tryouts. Marshall isn't doing too well pitching. Samantha uses her magic to help him. Sam tells Darrin that Marshall made the team. Darrin is against her using witchcraft to help the boy. That night they find Marshall in their backyard. He says he's running away from home because his mother won't let him play on the team. Mrs. Burns comes by and Sam and Darrin try to show her that she's being too protective. Mrs. Burns tells them to stay away from Marshall. The next day Mrs. Burns thinks Marshall has run away again. Sam says he probably went to play in the baseball game. They go to the game. Marshall does gain self-confidence and hits the game winning home run. His mother realizes that she needs to let him do the things that little boys do. Byron Keith as Coach Gribben. Joe Brooks as Umpire."
Bewitched,1,7,The Witches Are Out,William Asher,Bernard Slade,1964-10-29,"Elderly witches Bertha (Reta Shaw) and Mary (Madge Blake) are visiting Samantha. Sam's Aunt Clara, who's witchcraft is not as good as it used to be, then shows up. They're sad that the world still sees witches as ugly old hags. Sam thinks Darrin might be able to help them. Meanwhile, Darrin's latest client, Mr. Brinkman (Shelley Berman), wants to use a stereotypical ugly witch to promote his Halloween candy. When Sam sees some of Darrin's sketches of an ugly witch, she is understandably upset. Darrin suggests to Brinkman that he updates his campaign and use a beautiful witch. Brinkman is not impressed. Darrin tells Larry to put someone else on the account and he quits. Sam recruits Bertha, Mary and Clara to help get Darrin's job back. The foursome team up to give Brinkman a taste of his own medicine. Darrin gets back to work and Brinkman goes along with the updated campaign.                                                   

Note: Marion Lorne makes her first of 28 appearances as Aunt Clara."
Bewitched,1,8,The Girl Reporter,William Asher,Paul David & John L. Greene,1964-11-05,"Liza Randall (Cheryl Holdridge), a local junior college student, comes by the house to interview Darrin for her college newspaper. She seems quite taken with Darrin and he's enjoying the attention. Samantha is a little surprised that Darrin invited her to his office the next morning. The next day, Liza arrives at the house all dressed up. After her and Darrin leave, her large football player of a fiancé, Marvin ""Monster"" Grogan (Roger Ewing), drops by. He is not happy about Liza being with Darrin. Sam invites Marvin in. Meanwhile, at the office, Liza starts to flirt with Darrin. Sam feeds Marvin to keep him distracted. Liza makes some cocktails for her and Darrin. Larry and Mr. Austen come by the office and find Liza, who just tripped, laying on top of Darrin. Sam talks to Marvin and he begins to have feelings for Samantha. Darrin and Liza come home. Darrin kicks Liza and Marvin out. Sam can tell Darrin is jealous and they have a little fight. Liza and Marvin come back and Sam uses magic when Marvin tries to hit Darrin. In the end, the two couples work things out."
Bewitched,1,9,Witch or Wife,William Asher,Bernard Slade,1964-11-12,"Larry will be going on a business trip to Paris and his wife Louise (Irene Vernon) will be going with. He asks Darrin to take over his work will he's gone. This means very long hours at the office and Samantha doesn't see Darrin much. Sam is bored and lonely. She agrees to have lunch in Paris with Endora. After lunch, Sam and Endora go to a fashion show. While there, they run into Larry and Louise. Larry insists they have dinner together. When Sam steps away from the table, Larry calls Darrin and then has Sam talk to him. Later, Sam returns home. Things don't go well with Darrin and Sam goes back to Paris. Larry returns early and leaves Louise with Sam and Endora. Larry tells Darrin that Sam is miserable. Darrin flies to Paris, but Sam has come home. Sam joins Darrin on the plane. They make up and fly to Paris together. Raquel Welch as Stewardess."
Bewitched,1,10,Just One Happy Family,William Asher,Fred Freeman & Lawrence J. Cohen,1964-11-19,"Endora tells Samantha that her father, Maurice (Maurice Evans), is coming to visit that evening. Sam is looking foward to seeing him, but she knows he doesn't approve of mortals and witches marrying. Sam tells Darrin about Maurice and the terrible temper he has. She asks Darrin to not be around until she's explained things to Maurice. Maurice arrives with gifts for Sam and Endora. Meanwhile, Darrin is having a drink with Larry. Larry says that if he loves Sam, he should stand up to Maurice. Darrin calls Sam and tells her he's coming home. She locks him in a phone booth. Maurice learns Darrin is mortal and is not happy. Darrin comes home and confronts Maurice. Maurice makes him disappear. Endora is furious, and Samantha tells Maurice she loves Darrin and not to take him away from her. Maurice brings Darrin back. They all have dinner together and Darrin even has Maurice's favorite champagne. Joseph V. Perry as TV Repairman."
