lemme;upos;freqlemfilms;freqlemlivres
être;VER;32236,50;15085,47
je;PRO:per;25983,20;10862,77
de;PRE;25220,86;38928,92
ne;ADV;22287,83;13841,89
avoir;AUX;18559,22;12800,81
pas;ADV;18188,15;8795,14
la;ART:def;14946,48;23633,92
tu;PRO:per;14661,76;2537,03
le;ART:def;13652,76;18310,95
vous;PRO:per;13589,70;3507,16
avoir;VER;13572,40;6426,49
il;PRO:per;13222,93;15832,09
et;CON;12909,08;20879,73
à;PRE;12190,40;19209,05
un;ART:ind;12087,62;13550,68
aller;VER;9992,77;2854,93
ça;PRO:dem;8933,66;2477,64
faire;VER;8813,48;5328,99
les;ART:def;8720,38;14662,30
on;PRO:per;8586,40;4838,38
l';ART:def;8129,41;12746,76
être;AUX;8074,24;6501,82
une;ART:ind;7907,85;9587,97
d';PRE;7224,74;11876,35
pour;PRE;7078,55;6198,24
des;ART:ind;6055,71;10624,93
dire;VER;5946,15;4832,50
en;PRE;5689,68;8732,57
pouvoir;VER;5524,47;2659,80
qui;PRO:int;5516,52;7923,24
qui;PRO:rel;5516,52;7923,24
vouloir;VER;5249,30;1640,14
ce;PRO:dem;5219,10;2958,58
mais;CON;5179,05;4463,72
me;PRO:per;4929,44;4264,32
nous;PRO:per;4772,12;3867,84
dans;PRE;4658,59;8296,08
elle;PRO:per;4520,53;6991,49
savoir;VER;4516,71;2003,58
du;ART:def;4394,70;6882,16
y;PRO:per;4346,55;3086,76
t';PRO:per;4344,23;779,93
bien;ADV;4213,78;2535,14
voir;VER;4119,43;2401,76
que;PRO:int;4100,90;3315,95
que;PRO:rel;4100,90;3315,95
plus;ADV;4062,45;5014,53
non;ADV;4040,18;1135,81
te;PRO:per;4006,10;774,32
mon;ADJ:pos;3848,99;2307,97
au;ART:def;3737,75;5322,50
avec;PRE;3704,89;4000,41
moi;PRO:per;3675,68;1877,57
en;PRO:per;3536,55;2458,31
le;PRO:per;3300,74;2424,19
l';PRO:per;3260,83;2575,41
devoir;VER;3232,57;1318,18
oui;ADV;3207,35;637,57
ils;PRO:per;3075,07;2809,53
tout;ADJ;2948,75;3171,35
