lemme;genre;freq
homme;m;1398,85
jour;m;1341,76
temps;m;1289,39
oeil;m;1234,59
fois;f;1140,00
chose;f;1057,64
peu;m;1023,38
femme;f;995,74
heure;f;924,05
tête;f;923,45
vie;f;853,31
coup;m;837,70
mère;f;761,28
monde;m;741,35
nuit;f;738,24
père;m;723,51
air;m;690,81
moment;m;688,24
an;m;685,81
porte;f;617,43
voix;f;612,70
fille;f;592,23
côté;m;566,49
visage;m;565,00
soir;m;562,64
mot;m;553,78
bras;m;487,97
pied;m;486,42
corps;m;480,34
place;f;468,58
eau;f;459,86
terre;f;452,91
regard;m;423,18
chambre;f;413,31
coeur;m;400,74
peine;f;399,53
bout;m;398,11
matin;m;396,76
dieu;m;396,49
nom;m;395,00
table;f;379,80
fond;m;376,15
année;f;375,54
histoire;f;359,53
fait;m;355,54
guerre;f;354,59
ville;f;352,97
doute;m;350,07
force;f;344,73
instant;m;340,20
lit;m;338,18
soleil;m;334,39
idée;f;328,45
question;f;328,45
silence;m;325,54
monsieur;m;324,86
point;m;323,58
mur;m;317,77
peur;f;311,69
raison;f;308,78
sorte;f;307,16
ciel;m;305,20
mois;m;304,86
bois;m;299,46
épaule;f;288,72
train;m;288,65
route;f;288,04
bouche;f;283,45
bruit;m;281,49
tout;m;281,01
fenêtre;f;280,20
façon;f;277,30
pièce;f;276,35
suite;f;275,81
famille;f;274,39
lumière;f;274,26
face;f;270,88
cheveu;m;270,68
lieu;m;267,57
besoin;m;266,62
travail;m;263,45
garçon;m;262,50
envie;f;258,11
mer;f;257,57
doigt;m;256,15
milieu;m;256,08
lettre;f;256,01
affaire;f;253,38
fils;m;247,64
travers;m;247,64
pays;m;241,55
feu;m;236,15
ordre;m;235,34
plaisir;m;233,85
chemin;m;231,42
verre;m;230,07
bord;m;228,11
lèvre;f;222,03
jambe;f;220,95
vent;m;220,27
état;m;218,18
sens;m;217,50
âge;m;217,43
cas;m;217,36
frère;m;216,35
esprit;m;216,28
salle;f;215,81
sourire;m;215,34
dos;m;213,99
partie;f;211,49
personne;f;209,80
arbre;m;208,58
compte;m;208,38
sang;m;207,30
madame;f;203,45
papier;m;203,11
minute;f;201,42
coin;m;199,26
couleur;f;198,72
journal;m;197,70
semaine;f;197,50
cause;f;197,30
souvenir;m;197,03
odeur;f;195,68
argent;m;194,39
oreille;f;194,12
mal;m;193,92
effet;m;192,36
pierre;f;189,86
image;f;188,92
peau;f;187,77
jardin;m;185,81
type;m;184,19
mouvement;m;182,97
journée;f;179,39
cheval;m;179,26
parole;f;178,31
nez;m;177,64
café;m;177,30
forme;f;176,69
sac;m;174,26
jeu;m;173,31
long;m;171,35
reste;m;168,58
fleur;f;164,39
droit;m;163,72
bonheur;m;162,36
ligne;f;162,30
signe;m;161,28
