word;start;end
C;0,00;0,32
est;0,32;0,32
pas;0,32;1,52
mal;1,52;1,74
disons;1,74;2,20
est;2,40;2,46
ce;2,46;2,46
que;2,46;2,48
vous;2,48;2,66
pourriez;2,66;3,34
décrire;3,34;4,20
les;4,20;5,98
déplacements;5,98;6,52
avec;6,52;6,88
précision;6,88;8,50
une;9,14;9,48
journée;9,48;9,78
par;9,78;10,00
exemple;10,00;10,00
;10,00;10,02
Soit;10,20;10,80
on;10,80;11,02
travaille;11,02;11,56
soit;11,66;11,84
on;11,84;12,44
travaille;12,44;12,44
donc;12,68;12,68
moi;12,68;12,92
je;12,92;13,92
prends;13,92;14,16
le;14,16;15,06
métro;15,06;15,24
le;15,24;15,76
matin;15,76;15,76
jusqu;15,76;16,88
au;16,88;16,88
Palais;16,88;17,00
Royal;17,00;17,00
À;17,04;17,04
quelle;17,04;17,32
heure;17,32;17,32
excusez;17,32;17,90
moi;17,90;17,98
;17,98;18,28
Oui;18,28;18,40
je;18,52;18,60
prends;18,60;18,70
le;18,70;18,98
métro;18,98;18,98
le;18,98;19,56
matin;19,56;19,56
à;19,56;19,96
8h30;19,96;20,56
donc;21,18;21,52
je;21,52;22,20
descends;22,20;22,42
au;22,42;22,66
Palais;22,66;22,72
Royal;22,72;23,02
je;23,80;23,98
lance;23,98;24,18
la;24,18;24,70
scène;24,70;24,70
jusqu;24,70;24,92
à;24,92;24,92
la;24,92;25,28
passerelle;25,28;25,46
de;25,46;25,74
Solferino;25,74;26,26
je;26,26;26,74
traverse;26,74;27,02
la;27,02;27,26
passerelle;27,26;27,54
de;27,54;27,78
Solferino;27,78;28,38
je;28,66;28,66
vais;28,66;28,76
à;28,76;28,78
mon;28,78;28,98
travail;28,98;29,38
là;29,38;30,10
donc;30,36;30,36
à;30,36;30,50
la;30,50;30,92
grande;30,92;30,96
chancellerie;30,96;31,40
de;31,40;31,52
la;31,52;31,76
Légion;31,76;31,86
d;31,86;32,24
honneur;32,24;32,32
et;32,56;32,56
puis;32,56;32,90
je;32,90;33,62
travaille;33,62;33,82
toute;33,82;34,08
la;34,08;34,40
journée;34,40;34,40
entre;34,50;34,76
midi;34,76;35,08
et;35,08;35,22
deux;35,22;35,34
je;35,34;35,48
peux;35,48;35,68
faire;35,68;35,76
des;35,76;36,02
courses;36,02;36,14
dans;36,14;36,38
le;36,38;36,52
quartier;36,52;36,62
donc;36,70;36,80
dans;36,80;36,94
le;36,94;37,24
septième;37,24;37,34
Non;37,38;37,38
tu;37,40;37,56
vas;37,56;37,56
chez;37,56;37,74
Gilbert;37,74;37,94
Ou;38,42;38,82
alors;38,82;39,04
je;39,04;39,06
vais;39,06;39,16
chez;39,16;39,50
Gilbert;39,50;39,70
ou;40,10;40,32
je;40,32;40,72
vais;40,72;40,72
au;40,72;41,36
musée;41,36;41,52
du;41,52;41,86
Quai;41,86;41,96
Branly;41,96;42,36
ou;42,56;42,68
je;42,68;42,90
vais;42,90;43,18
voilà;43,98;43,98
Et;44,26;44,58
le;44,58;44,86
soir;44,86;45,04
par;45,16;45,32
contre;45,32;45,48
ça;45,48;45,98
le;45,98;46,36
soir;46,36;46,36
je;46,36;46,60
ne;46,60;46,88
reviens;46,88;46,88
jamais;46,88;47,96
en;47,96;48,50
métro;48,50;48,52
sauf;49,10;49,18
quand;49,18;49,34
il;49,34;49,48
y;49,48;49,48
a;49,48;49,50
des;49,50;49,74
manifestations;49,74;50,40
mais;50,40;50,70
je;50,70;50,82
ne;50,82;51,04
reviens;51,04;51,04
jamais;51,04;51,64
en;51,64;51,74
métro;51,74;51,98
je;52,10;52,14
reviens;52,14;52,28
toujours;52,28;52,72
en;52,72;53,44
bus;53,44;53,44
ça;53,80;53,80
c;53,80;54,30
est;54,30;54,30
par;54,30;55,36
le;55,36;56,10
86;56,10;56,94
qui;56,94;57,70
est;57,70;57,90
un;57,90;58,20
bus;58,20;58,74
formidable;58,74;59,46
qui;60,34;60,70
traverse;60,70;61,10
le;61,10;61,38
quartier;61,38;61,84
Boulevard;62,46;62,68
Saint;62,68;63,10
Germain;63,10;63,52
Boulevard;64,52;64,66
Henri;64,66;65,10
IV;65,10;65,34
on;65,50;65,70
traverse;65,70;65,92
la;65,92;66,68
Seine;66,68;66,68
la;67,18;67,40
Bastille;67,40;67,90
et;68,12;68,12
puis;68,12;68,42
après;68,42;68,60
rue;68,60;68,68
du;68,68;68,84
Faubourg;68,84;69,16
Saint;69,16;69,38
Antoine;69,38;69,70
c;69,88;69,96
est;69,96;69,96
très;69,96;70,32
vivant;70,32;70,58
c;70,92;71,04
est;71,04;71,04
vraiment;71,04;71,40
très;71,40;72,16
agréable;72,16;72,20
c;72,44;72,46
est;72,46;72,46
d;72,46;72,62
ailleurs;72,62;72,62
en;72,62;72,84
partie;72,84;73,10
à;73,10;73,52
cause;73,52;73,60
de;73,60;73,88
ça;73,88;74,00
que;74,00;74,12
j;74,12;74,26
ai;74,26;74,26
choisi;74,26;74,54
pour;74,54;75,28
cette;75,28;75,50
affectation;75,50;76,10
de;76,10;76,62
travail;76,62;76,62
tellement;76,62;77,06
c;77,06;77,48
était;77,48;77,48
agréable;77,48;77,70
de;77,70;78,30
revenir;78,30;78,30
comme;78,30;78,58
ça;78,58;78,70
tous;78,70;78,82
les;78,82;79,04
jours;79,04;79,26
quoi;79,26;79,70
plutôt;79,70;79,76
que;79,76;80,04
de;80,04;80,52
Vous;80,52;80,64
savez;80,64;80,84
que;80,84;81,00
nous;81,00;81,12
sommes;81,12;81,34
plusieurs;81,34;81,88
à;81,88;82,38
faire;82,38;82,42
ça;82,42;82,80
monsieur;83,52;83,84
le;83,84;83,92
ministre;83,92;84,52
madame;84,66;84,84
la;84,84;84,84
dame;84,84;84,84
a;84,84;87,20
le;87,20;87,50
même;87,50;87,86
discours;87,86;88,58
absolument;90,90;91,40
ému;91,40;91,90
quand;91,90;92,20
on;92,20;92,68
passe;92,68;92,68
à;92,68;92,80
l;92,80;93,16
arrière;93,16;93,16
de;93,16;93,52
Notre;93,52;93,96
Dame;93,96;94,00
en;94,00;94,36
particulier;94,36;94,54
Ah;94,62;94,76
oui;94,76;94,86
c;94,90;95,06
est;95,06;95,06
un;95,06;95,24
très;95,24;95,52
beau;95,52;95,62
trajet;95,62;95,88
ce;95,88;96,26
86;96,26;96,80
c;96,94;97,06
est;97,06;97,06
vraiment;97,06;97,28
un;97,28;97,58
très;97,58;97,82
très;97,82;98,06
beau;98,06;98,14
trajet;98,14;98,42
oui;98,42;99,28
Et;99,46;99,56
vous;99,56;99,66
vous;100,00;100,00
avez;100,00;100,12
comme;100,12;100,60
ça;100,60;100,60
des;100,60;100,76
moments;100,76;101,08
de;101,08;101,60
Une;102,12;102,64
journée;102,64;103,10
je;103,98;103,98
vais;103,98;104,12
travailler;104,12;104,58
moi;104,74;105,06
je;105,06;105,16
vais;105,16;105,20
à;105,20;105,40
pied;105,40;105,50
puisque;106,06;106,10
je;106,10;106,30
n;106,30;106,52
utilise;106,52;106,52
pas;106,52;106,66
les;106,66;106,92
transports;106,92;107,22
en;107,22;107,40
commun;107,40;107,52
je;107,68;108,14
descends;108,14;108,16
le;108,16;108,54
boulevard;108,54;109,12
d;109,12;110,48
Hydro;110,48;110,66
je;111,12;111,48
travaille;111,48;111,62
à;111,62;111,78
la;111,78;112,14
préfecture;112,14;112,18
de;112,18;112,74
Paris;112,74;113,18
qui;113,34;113,46
n;113,46;113,60
est;113,60;113,60
pas;113,60;113,88
connue;113,88;114,14
mais;114,22;114,38
néanmoins;114,38;114,78
existe;114,78;115,50
et;118,18;118,18
entre;118,18;118,70
midi;118,70;119,14
et;119,14;119,22
deux;119,22;119,56
heures;119,56;120,02
bon;121,04;121,36
parfois;121,36;121,48
je;121,48;121,60
reste;121,60;121,78
au;121,78;122,40
bureau;122,40;122,40
je;122,64;122,82
vais;122,82;122,96
me;122,96;123,32
promener;123,32;123,70
je;124,04;124,14
vais;124,14;124,22
au;124,22;124,50
marché;124,50;124,60
d;124,60;124,98
Alligre;124,98;125,22
je;125,22;125,76
m;125,76;125,76
arrive;125,76;125,84
d;125,84;126,16
aller;126,16;126,16
au;126,16;126,68
marché;126,68;126,80
d;126,80;127,32
Alligre;127,32;127,38
je;128,64;128,70
fais;128,70;128,70
quelques;128,70;129,06
courses;129,06;129,66
et;130,00;130,12
le;130,12;130,38
soir;130,38;130,48
je;130,48;130,72
rentre;130,72;131,02
je;131,12;131,32
rentre;131,32;131,44
à;131,44;131,74
pied;131,74;131,74
tout;131,74;131,98
le;131,98;132,18
temps;132,18;132,18
Votre;132,94;133,04
marché;133,04;133,40
c;133,68;133,76
est;133,76;133,76
Alligre;133,76;134,22
plus;134,22;135,00
Non;135,00;135,02
ah;135,10;135,16
non;135,16;135,26
c;135,40;135,60
est;135,60;135,60
le;135,60;135,66
Côte;135,66;135,74
Vincent;135,74;136,04
non;136,40;136,78
Alligre;136,78;137,32
c;137,50;137,60
est;137,60;137,60
pas;137,60;137,82
le;137,82;138,44
marché;138,44;138,44
d;138,44;138,98
Alligre;138,98;138,98
lui;138,98;139,38
même;139,38;139,70
c;140,20;140,20
est;140,20;140,20
il;140,54;140,60
y;140,60;140,60
a;140,60;140,64
il;140,64;140,64
y;140,64;140,64
a;140,64;141,24
bon;141,24;141,62
je;141,62;141,82
suis;141,82;141,82
un;141,82;142,46
peu;142,46;142,58
branchée;142,58;143,24
bio;143,24;143,52
donc;143,70;143,88
il;143,88;144,02
y;144,02;144,02
a;144,02;144,14
un;144,14;144,58
boulanger;144,58;144,68
bio;144,68;145,16
et;145,16;145,96
une;145,96;146,42
autre;146,42;146,76
boutique;146,76;146,92
enfin;147,06;147,22
voilà;147,22;147,44
c;147,50;147,98
est;147,98;147,98
ponctuel;147,98;148,50
c;148,72;148,82
est;148,82;148,82
des;148,82;149,00
achats;149,00;149,20
ponctuels;149,20;149,54
Oui;149,98;150,24
d;150,24;150,24
accord;150,24;150,24
c;150,26;150,30
est;150,30;150,30
Alligre;150,30;152,94
Sinon;152,94;153,34
pour;153,34;153,62
des;153,62;153,80
petits;153,80;153,94
trucs;153,94;154,12
voilà;154,24;155,16
Alors;155,88;155,88
c;155,88;156,42
est;156,42;156,42
simplement;156,42;157,16
vous;157,16;157,62
qui;157,62;157,98
avez;157,98;158,12
le;158,12;158,58
qui;159,10;159,16
allez;159,16;159,30
pouvoir;159,30;159,62
me;159,62;160,36
répondre;160,36;160,36
sur;160,36;160,74
les;160,74;160,98
écoles;160,98;161,28
du;161,28;161,94
quartier;161,94;161,94
est;162,08;162,28
ce;162,28;162,28
que;162,28;162,30
vous;162,30;162,50
avez;162,50;162,74
encore;162,74;163,10
des;163,10;164,20
souvenirs;164,20;164,96
et;164,96;165,88
un;165,88;166,12
jugement;166,12;166,42
sur;166,42;167,08
vos;167,08;167,76
années;167,76;167,98
de;167,98;168,50
scolarité;168,50;168,76
;168,76;168,96
Oui;168,96;169,08
moi;169,08;169,38
j;169,38;169,76
étais;169,76;169,76
donc;169,76;170,24
j;171,58;171,72
étais;171,72;171,72
à;171,72;171,90
l;171,90;172,20
école;172,20;172,20
Rue;172,20;172,54
de;172,54;172,76
Pipus;172,76;173,12
Qui;174,70;174,76
existe;174,76;175,14
toujours;175,14;175,60
Qui;175,98;175,98
existe;175,98;175,98
toujours;175,98;175,98
absolument;175,98;176,50
oui;176,64;177,04
ça;177,14;177,42
et;177,68;178,96
puis;178,96;179,42
après;179,42;179,80
j;179,80;180,30
étais;180,30;180,30
au;180,30;180,66
lycée;180,66;180,84
Aragaud;180,84;181,38
il;183,08;183,68
y;183,68;183,68
avait;183,68;183,78
une;183,78;184,02
année;184,02;184,24
qui;184,24;184,58
d;184,58;185,00
ailleurs;185,00;185,00
qui;185,48;187,14
est;187,14;187,26
à;187,26;187,30
Rue;187,30;187,54
Lidereau;187,54;188,34
Et;189,38;189,40
